lo_id,hi_id,lo_wins,hi_wins
101611,103103,2,0
101611,103157,0,1
101611,103163,0,1
101611,103166,0,1
101611,103176,0,1
101611,103185,0,1
101611,103206,1,1
101611,103252,1,0
101611,103268,1,0
101611,103292,0,1
101611,103344,0,1
101611,103356,1,0
101611,103420,1,1
101611,103428,1,0
101611,103444,1,0
101611,103498,0,3
101611,103507,1,2
101611,103544,1,0
101611,103709,0,1
101611,103714,2,1
101611,103720,0,1
101611,103789,0,1
101611,103843,0,1
101611,104076,1,0
101611,104269,0,1
101636,102263,0,1
101636,102382,0,1
101636,102703,1,0
101636,103530,1,0
101638,103273,0,1
101647,101675,1,0
101647,101723,0,1
101647,101736,0,1
101647,101750,0,1
101647,101774,0,2
101647,101820,0,2
101647,101868,1,0
101647,101902,1,0
101647,101948,0,2
101647,101962,1,0
101647,102021,1,3
101647,102077,0,1
101647,102106,1,0
101647,102133,0,1
101647,102154,1,0
101647,102162,2,0
101647,102184,1,1
101647,102223,1,0
101647,102227,1,0
101647,102250,1,0
101647,102257,0,3
101647,102259,0,1
101647,102287,2,0
101647,102318,0,2
101647,102369,0,1
101647,102450,0,2
101647,102456,0,1
101647,102464,1,0
101647,102558,1,0
101647,102562,0,1
101647,102607,0,1
101647,102610,0,1
101647,102642,0,1
101647,102694,1,0
101647,102701,0,1
101647,102776,1,0
101647,102783,1,0
101647,102808,1,0
101647,102817,0,1
101647,102835,1,0
101647,102839,0,1
101647,102882,0,1
101647,102905,0,1
101647,102965,1,1
101647,102987,1,0
101647,102998,1,0
101647,103009,1,0
101647,103018,1,1
101647,103082,1,0
101647,103103,1,0
101647,103157,3,0
101647,103163,1,0
101647,103166,0,2
101647,103181,1,0
101647,103206,0,2
101647,103248,0,1
101647,103252,2,0
101647,103305,1,0
101647,103333,0,1
101647,103337,1,0
101647,103344,1,0
101647,103350,1,0
101647,103356,1,0
101647,103428,0,1
101647,103478,1,0
101647,103598,0,1
101647,103694,0,1
101647,103720,1,1
101647,103751,0,1
101647,103758,1,1
101647,103786,1,0
101647,103789,1,0
101647,104053,0,1
101647,104098,1,0
101647,104339,0,1
101649,104056,0,1
101651,101964,0,1
101651,103735,0,1
101662,103504,0,1
101662,104229,0,1
101662,104702,0,1
101662,108596,1,0
101662,108621,1,0
101662,108622,1,0
101662,108623,1,0
101662,108945,0,1
101675,101723,0,1
101675,101826,1,0
101675,102024,1,0
101675,102107,0,1
101675,102133,1,0
101675,102179,0,1
101675,102234,0,1
101675,102239,1,0
101675,102247,0,2
101675,102252,1,0
101675,102455,1,0
101675,102477,0,1
101675,102494,1,0
101675,102548,2,0
101675,102558,1,0
101675,102585,0,1
101675,102615,1,0
101675,102644,0,1
101675,102665,0,1
101675,102722,0,2
101675,102730,0,1
101675,102783,0,1
101675,102817,1,0
101675,102831,1,1
101675,102834,1,0
101675,102851,0,1
101675,102911,1,0
101675,102921,2,0
101675,102925,1,0
101675,102934,0,1
101675,102950,0,3
101675,102957,0,1
101675,103171,0,1
101675,103176,0,1
101675,103181,1,0
101675,103182,1,1
101675,103198,1,0
101675,103204,0,1
101675,103216,1,0
101675,103248,0,1
101675,103280,1,0
101675,103292,0,1
101675,103356,1,0
101675,103369,1,0
101675,103397,0,1
101675,103478,0,1
101675,103505,0,1
101675,103602,0,1
101675,103672,0,1
101675,103737,0,1
101675,103758,0,1
101675,103786,0,1
101675,103835,0,1
101675,103852,0,2
101675,103900,1,0
101675,103909,0,1
101675,103990,1,0
101675,104051,1,0
101675,104172,1,0
101675,104179,0,1
101675,109021,1,0
101675,109026,1,0
101683,102883,0,1
101683,103082,0,1
101683,103154,0,1
101683,103397,0,1
